"name","LineRate"
"BoardGameHub.Api.Hubs.GameHub/<SetGameType>d__11","0"
"BoardGameHub.Api.Controllers.AdminController/<SendMessage>d__18","0"
"BoardGameHub.Api.Hubs.GameHub/<SendOffer>d__45","0"
"BoardGameHub.Api.Hubs.GameHub/<UniversalTranslatorToken>d__51","0"
"BoardGameHub.Api.Controllers.AdminController/<UpdateSettings>d__16","0"
"BoardGameHub.Api.Controllers.AdminController/<TerminateRoom>d__15","0"
"BoardGameHub.Api.Controllers.AdminController/<UpdateGame>d__10","0"
"BoardGameHub.Api.Hubs.GameHub/<StarPictophonePage>d__31","0"
"BoardGameHub.Api.Hubs.GameHub/<SymbologyRemoveMarker>d__50","0"
"BoardGameHub.Api.Hubs.GameHub/<StartGame>d__7","0"
"BoardGameHub.Api.Controllers.AdminController/StartGameReq","0"
"BoardGameHub.Api.Controllers.AdminController/MsgReq","0"
"BoardGameHub.Api.Hubs.GameHub/<UniversalTranslatorForcePhase>d__53","0"
"BoardGameHub.Api.Hubs.GameHub/<SetHostPlayer>d__12","0"
"BoardGameHub.Api.Hubs.GameHub/<ToggleSushiTrainChopsticks>d__56","0"
"BoardGameHub.Api.Controllers.AdminController/<GetGames>d__9","0"
"BoardGameHub.Api.Hubs.GameHub/<ToggleReady>d__20","0"
"BoardGameHub.Api.Hubs.AdminHub","0"
"BoardGameHub.Api.Services.RoomService/<ScheduleRoomDestruction>d__17","0"
"BoardGameHub.Api.Services.RoomService/<CalculateRoundScores>d__25","0"
"BoardGameHub.Api.Services.RoomService/<SubmitAction>d__24","0"
"BoardGameHub.Api.Services.ChallengeRequest","0"
"BoardGameHub.Api.Services.ScatterbrainData/ListMetadata","0"
"BoardGameHub.Api.Services.PoppycockState","0"
"BoardGameHub.Api.Services.PoppycockGameService/<EndRound>d__10","0"
"BoardGameHub.Api.Services.PoppycockPrompt","0"
"BoardGameHub.Api.Services.RoomService/<>c__DisplayClass25_0","0"
"BoardGameHub.Api.Services.RoomService/<>c__DisplayClass24_0","0"
"BoardGameHub.Api.Services.ChallengeState","0"
"BoardGameHub.Api.Services.SocialService/<GetPrivateChatHistory>d__4","0"
"BoardGameHub.Api.Services.SocialService/<GetGlobalChatHistory>d__5","0"
"BoardGameHub.Api.Services.SocialService/<SaveChatMessage>d__2","0"
"BoardGameHub.Api.Services.SocialService/<SendFriendRequest>d__6","0"
"BoardGameHub.Api.Services.SocialService/<SaveGlobalMessage>d__3","0"
"BoardGameHub.Api.Services.SocialService","0"
"BoardGameHub.Api.Services.ScatterbrainGameService/<EndRound>d__7","0"
"BoardGameHub.Api.Services.SocialService/<AcceptFriendRequest>d__7","0"
"BoardGameHub.Api.Services.SocialService/<GetFriends>d__8","0"
"BoardGameHub.Api.Services.SocialService/<GetFriendRequests>d__9","0"
"BoardGameHub.Api.Services.PoppycockGameService","0"
"BoardGameHub.Api.Services.DeepfakeGameService/<EndRound>d__14","0"
"BoardGameHub.Api.Services.CheckersState","0"
"BoardGameHub.Api.Services.FourInARowGameService","0"
"BoardGameHub.Api.Services.NomDeCodeService","0"
"BoardGameHub.Api.Services.FourInARowState","0"
"BoardGameHub.Api.Services.BabbleService","0"
"BoardGameHub.Api.Services.BabbleGameService/<EndRound>d__9","0"
"BoardGameHub.Api.Services.BreakingNewsGameService/<EndRound>d__8","0"
"BoardGameHub.Api.Services.CheckersGameService","0"
"BoardGameHub.Api.Services.BreakingNewsGameService/<HandleAction>d__9","0"
"BoardGameHub.Api.Services.NomDeCodeState","0"
"BoardGameHub.Api.Services.PictophoneService/<HandleAction>d__10","0"
"BoardGameHub.Api.Services.PictophoneService/<EndRound>d__9","0"
"BoardGameHub.Api.Services.PictophoneState","0"
"BoardGameHub.Api.Services.PictophonePage","0"
"BoardGameHub.Api.Services.PictophoneBook","0"
"BoardGameHub.Api.Services.NomDeCodeClue","0"
"BoardGameHub.Api.Services.NomDeCodeCard","0"
"BoardGameHub.Api.Services.OneAndOnlyService/<EndRound>d__13","0"
"BoardGameHub.Api.Services.PictophoneService/<>c__DisplayClass10_0","0"
"BoardGameHub.Api.Services.PictophoneService","0"
"BoardGameHub.Api.Services.SushiTrainGameService/<EndRound>d__22","0"
"BoardGameHub.Api.Migrations.RenameConnect4ToFourInARow","0"
"BoardGameHub.Api.Migrations.RenameBattleshipToWarships","0"
"BoardGameHub.Api.Migrations.RenameConnect4ToFourInARow","0"
"BoardGameHub.Api.Migrations.RenameCodenamesToNomDeCode","0"
"BoardGameHub.Api.Migrations.RenameCodenamesToNomDeCode","0"
"BoardGameHub.Api.Migrations.RemoveBrandedGames","0"
"BoardGameHub.Api.Migrations.RemoveBrandedGames","0"
"BoardGameHub.Api.Migrations.RenameBoggleToWordHunt","0"
"BoardGameHub.Api.Migrations.RenameBattleshipToWarships","0"
"BoardGameHub.Api.Migrations.RenameBoggleToWordHunt","0"
"BoardGameHub.Api.Migrations.RenameJustOneToOneAndOnly","0"
"BoardGameHub.Api.Migrations.AddTimerSettingsToGameDefinition","0"
"BoardGameHub.Api.Migrations.AddTimerSettingsToGameDefinition","0"
"BoardGameHub.Api.Migrations.AddSettingsMetadataToGameDefinition","0"
"BoardGameHub.Api.Migrations.AppDbContextModelSnapshot","0"
"BoardGameHub.Api.Migrations.AddSettingsMetadataToGameDefinition","0"
"BoardGameHub.Api.Migrations.RenameWordHuntToBabble","0"
"BoardGameHub.Api.Migrations.RenameJustOneToOneAndOnly","0"
"BoardGameHub.Api.Migrations.RenameWordHuntToBabble","0"
"BoardGameHub.Api.Migrations.AddGameAttributes","0"
"BoardGameHub.Api.Migrations.AddGameAttributes","0"
"BoardGameHub.Api.Migrations.AddGamesTable","0"
"BoardGameHub.Api.Services.WarshipsBoard","0"
"BoardGameHub.Api.Services.WarshipsState","0"
"BoardGameHub.Api.Services.Warship","0"
"BoardGameHub.Api.Services.WisecrackGameService/<HandleAction>d__15","0"
"BoardGameHub.Api.Services.WisecrackGameService/<EndRound>d__16","0"
"BoardGameHub.Api.Services.SymbologyGameService/<HandleAction>d__13","0"
"BoardGameHub.Api.Services.SymbologyGameService/<EndRound>d__12","0"
"BoardGameHub.Api.Services.UniversalTranslatorService/<EndRound>d__13","0"
"BoardGameHub.Api.Services.WarshipsGameService","0"
"BoardGameHub.Api.Services.UniversalTranslatorService/<HandleAction>d__12","0"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<EndRound>d__14","0"
"BoardGameHub.Api.Migrations.InitialSocial","0"
"BoardGameHub.Api.Migrations.InitialSocial","0"
"BoardGameHub.Api.Migrations.AddGameHistory","0"
"BoardGameHub.Api.Migrations.AddGamesTable","0"
"BoardGameHub.Api.Migrations.AddGameHistory","0"
"BoardGameHub.Api.Models.ChatMessage","0"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<HandleAction>d__13","0"
"BoardGameHub.Api.Models.Friendship","0"
"Program","0"
"BoardGameHub.Api.Models.UndoVote","0"
